tScreenMain	___7tScreen	recon/frontend/common/screenmain.cpp
tScreenAudio	___7tScreen	recon/frontend/common/screenaudio.cpp
tScreenDisplay	___7tScreen	recon/frontend/common/screendisplay.cpp
tScreenMemcard	___7tScreen	recon/frontend/common/screenmemcard.cpp
tScreenUserName	___7tScreen	recon/frontend/common/screenusername.cpp
tScreenPinkSlips	___7tScreen	recon/frontend/common/screenpinkslips.cpp
tScreenTrackInfo	___7tScreen	recon/frontend/common/screentrackinfo.cpp
tScreenTrophyInfo	___7tScreen	recon/frontend/common/screentrophyinfo.cpp
tScreenTrackSelect	___7tScreen	recon/frontend/common/screentracks.cpp
tScreenTrackRecords	___7tScreen	recon/frontend/common/screentrackrecords.cpp
tScreenCongrats	___7tScreen	recon/frontend/common/screencongrats.cpp
tScreenBeTheCopCongrats	___7tScreen	recon/frontend/common/screencongrats.cpp
tScreenPinkSlipCongrats	___7tScreen	recon/frontend/common/screencongrats.cpp
tScreenTournamentTrophy	___7tScreen	recon/frontend/common/screencongrats.cpp
tScreenTournamentCongrats	___7tScreen	recon/frontend/common/screencongrats.cpp
tScreenTournamentStandings	___7tScreen	recon/frontend/common/screenpost.cpp
tScreenTournamentStandings3item	___7tScreen	recon/frontend/common/screenpost.cpp
tScreenPinkSlipStandings	___7tScreen	recon/frontend/common/screenpost.cpp
tScreenCarSelectDuel	___16tScreenCarSelect	recon/frontend/common/screencarselect.cpp
tDialogBackUpOnly	___7tScreen	recon/frontend/common/fedialog.cpp
tDialogHelp	___7tScreen	recon/frontend/common/fedialog.cpp
tDialogNoInputMessage	___7tScreen	recon/frontend/common/fedialog.cpp
tDialogYesNoMem	___7tScreen	recon/frontend/common/fedialog.cpp
tDialogYesNoTri	___7tScreen	recon/frontend/common/fedialog.cpp
tMenuItemOptionsLeftRightChoice	___24tMenuItemLeftRightChoice	recon/frontend/common/femenuextended.cpp
tMenuItemOptionsTwoItemChoice	___24tMenuItemLeftRightChoice	recon/frontend/common/femenuextended.cpp
tBlankMenuItemGoToMenuNFS4Button	___27tMenuItemGoToMenuNFS4Button	recon/frontend/common/femenudefs.cpp
tBlankMenuItemNFS4LeftRightChoice	___28tMenuItemNFS4LeftRightChoice	recon/frontend/common/femenudefs.cpp
