NFS4-PSX regional-variant reconstruction -- per-row progress
(gate: regiondiff/tools/verify_region.py; plan: MANIFEST.tsv)
TOTAL: 343 rows, 235 SEALED / 66 FAIL / 33 TODO / 0 ERROR / 9 N-A (data-blob or lib-thunk)
========================================================================================
status      words  region     unit                         function
SEALED        566  USA        frontend/common/screencarselect DrawForeground__16tScreenCarSelect
SEALED         42  USA        frontend/common/screentournselect DrawForeground__18tScreenTournSelect
SEALED        136  JPN        frontend/common/feapp        DrawHelpIcons__14tFEApplication
SEALED        156  USA        frontend/common/screentrackrecords DrawOneRecord__19tScreenTrackRecordsibi
SEALED        104  USA        frontend/common/screencarselect DrawVideoWall__25tScreenCarSelectTwoPlayers
SEALED         52  USA        game/psx/draww               DrawW_StripDraw_High__FP25Draw_tGiveShelbyMoreCache
SEALED         26  USA        game/psx/draww               DrawW_kCtrlWorld_High__FP25Draw_tGiveShelbyMoreCache
SEALED         36  AU         game/psx/draw                Draw_CheckFirstFrameRender__Fv
SEALED         69  AU         game/psx/draw                Draw_DirectSetEnvironment__Fiiiiiiiiii
SEALED         47  AU         game/psx/draw                Draw_InitRenderEngine__Fiiiiii
SEALED        235  AU         game/psx/fe3dmenu            Draw_MenuRenderingView__FP8Car_tObjP13DRender_tViewiiiUliffii
SEALED         11  USA        game/psx/draw                Draw_SetViewMemBudget__Fii
SEALED         60  USA        game/psx/draw                Draw_StartRenderingView__Fi
SEALED        139  JPN        frontend/common/fedialog     Draw__11tDialogHelp
SEALED        402  AU         frontend/common/femenuoptions Draw__20tMenuItemSlidingMenuiib
SEALED         44  JPN        game/common/pausemenu        Draw__25tPMenuItemLeftRightChoiceb
SEALED         96  JPN        game/common/pausemenu        Draw__25tPMenuItemLeftRightSliderb
SEALED         46  USA        frontend/common/fecheats     FECheat_ActivateBonusByCode__FPc
SEALED         66  USA        frontend/common/fecheats     FECheat_ActivateCheat__FPc
SEALED         36  USA        frontend/common/fecheats     FECheat_HandleActivation__F10tCheatCode
SEALED         30  USA        frontend/common/fecheats     FECheat_LoadBonus__FRUl
SEALED         77  JPN        frontend/common/feinput      FEInput_GetKeyFromPlayer__F7tPlayerl
FAIL 4        122  JPN        frontend/common/feinput      FEInput_GetNoDebounceKey__Fii
SEALED         28  JPN        frontend/common/feinput      FEInput_VerifyControllerValues__Fi
SEALED        126  USA        frontend/common/fetools      FeTools_DrawPSXButton__FUcUsii
SEALED        138  USA        syslib/psx/libgpu/FONT       FntPrint
SEALED        205  USA        frontend/common/front        Front_AppendOpponentData__FPiR9tFEStream
SEALED         63  USA        frontend/common/front        Front_GetInGameVars__Fv
SEALED         85  USA        frontend/common/front        Front_InitMissions__FR9tFEStream
SEALED        117  USA        frontend/common/front        Front_InitTrack__FR9tFEStream
SEALED         42  AU         frontend/common/front        Front_InitialMemCardCheck__Fv
SEALED         25  USA        frontend/common/front        Front_InitialMemCardCheck__Fv
SEALED         53  USA        frontend/common/front        Front_SecondaryMemCardCheck__Fv
SEALED        263  USA        game/common/gmesetup         GameSetup_StartUp__FPi
SEALED         28  USA        frontend/common/fecars       GetCarFromID__11tCarManagers
SEALED        148  USA        frontend/common/screencongrats GetShapeInfo__15tScreenCongratsRsT1PPcT3
SEALED         58  USA        frontend/common/screencarselect GetShapeInfo__25tScreenCarSelectTwoPlayerRsT1PPcT3
SEALED         30  USA        frontend/common/screencarselect GetShapeInfo__25tScreenPinkSlipsCarSelectRsT1PPcT3
SEALED         51  AU         frontend/common/fescreen     GoNonInterlaced__7tScreen
SEALED       1464  USA        game/common/aih_cop          HighExecute__10AIHigh_Cop
SEALED        758  USA        game/psx/hud                 Hud_BuildNumbers__Fi
SEALED        187  AU         game/psx/hud                 Hud_CreateHudViews__Fv
SEALED          2  USA        game/psx/hud                 Hud_DebugInfo__Fv
SEALED         97  USA        game/psx/hud                 Hud_ParseTime__FiPc
SEALED         32  AU         frontend/common/fememcard    Init_MemcardFile__FR12MCRDFILE_defsb
SEALED         90  AU         frontend/common/fememcard    Init_Memcard__FbT0
SEALED         89  USA        frontend/common/fememcard    Init_Memcard__FbT0
SEALED         62  AU         frontend/psx/psxfront        Init_RenderingEnvironment__Fv
SEALED         54  AU         frontend/common/fecredits    Init__14tCreditManageri
SEALED        219  AU         frontend/common/screenmain   Initialize__11tScreenMain
SEALED        221  USA        frontend/common/screenmain   Initialize__11tScreenMain
SEALED        223  JPN        frontend/common/screenmain   Initialize__11tScreenMain
SEALED        107  AU         frontend/common/screenmemcard Initialize__14tScreenMemcard
SEALED         32  USA        frontend/common/screencarselect Initialize__25tScreenCarSelectTwoPlayer
SEALED         28  USA        frontend/common/screencarselect Initialize__25tScreenPinkSlipsCarSelect
SEALED        354  USA        game/common/chunk            InstanceGroup__5ChunkP15SerializedGroupP9SimpleMem
SEALED         77  USA        frontend/common/femission    LoadDescription__15tMissionManagerb
FAIL 3        388  USA        frontend/common/fememcard    LoadGame__FsbT1
SEALED        209  USA        game/common/speech           Lose__Q26Speech13MobileSpeaker
SEALED        192  USA        game/common/mpause           MPause_MusicLogic__Fc
SEALED         28  USA        syslib/psx/libmcrd/LIBMCRD   MemCardCmd_cb
SEALED        173  USA        frontend/common/femenudefs   MenuExtended_AwardPinkSlipsCar__FR12tMenuCommand
SEALED         54  USA        frontend/common/femenudefs   MenuExtended_LoadGame__FR12tMenuCommand
SEALED        302  AU         frontend/common/femenuextended MenuNFS4_DrawTextBox__FiR4RECTissbT5
SEALED        301  USA        frontend/common/femenuextended MenuNFS4_DrawTextBox__FiR4RECTissbT5
SEALED        136  AU         frontend/psx/movie           Movie_Play__Fc
SEALED        134  USA        frontend/psx/movie           Movie_Play__Fc
SEALED        172  USA        game/common/nfs3             NFS4_LoadPerps__Fv
SEALED        492  USA        game/common/newton           Newton_TestForUndrivableSurfaces__FP13BO_tNewtonObj
SEALED         28  USA        game/common/object           Object_KillStatus__Fv
SEALED         17  USA        eaclib/psx/pad               PAD_restore
SEALED         20  USA        eaclib/psx/pad               PAD_state
SEALED         63  USA        eaclib/psx/pad               PAD_update
SEALED         35  USA        syslib/psx/libpad/PADENTRY   PadInfoAct
SEALED       1273  USA        game/common/physics          Physics_Real__FP8Car_tObj
SEALED         58  USA        game/psx/platform            Platform_SysStartUp__Fv
SEALED         39  USA        frontend/common/screenmain   PreLoad__11tScreenMain
SEALED        111  USA        frontend/common/screencarselect ProcessInput__16tScreenCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand
SEALED         58  USA        frontend/common/screencarselect ProcessInput__25tScreenPinkSlipsCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand
SEALED        382  USA        game/common/r3dcar           R3DCar_InsertCarFacetII__FP8Car_tObj
SEALED       1153  USA        game/common/r3dcar           R3DCar_InsertCarFacet__FP8Car_tObjP13DRender_tView
SEALED        363  AU         frontend/common/feapp        Redraw__14tFEApplication
SEALED        373  JPN        frontend/common/feapp        Redraw__14tFEApplication
SEALED        360  USA        frontend/common/feapp        Redraw__14tFEApplication
SEALED         59  AU         game/common/render           Render_CreatePlayerViews__Fv
SEALED         27  USA        game/common/render           Render_InitBlurMode__Fv
SEALED         46  AU         game/common/render           Render_InitTrackRender__Fv
SEALED         41  USA        game/common/render           Render_RenderWorld__FP13DRender_tView
SEALED         82  USA        game/common/render           Render_Render__Fi
SEALED        184  USA        frontend/common/feapp        RunDemoVideo__14tFEApplication
SEALED        298  USA        frontend/common/fememcard    SaveGame__Fs
FAIL 47       236  USA        frontend/common/fememcard    SavePinkSlipsCars__Fss
SEALED        183  JPN        frontend/common/screencontroller SetCurrentController__23tScreenControllerConfigb
SEALED        224  USA        game/common/bworld           SetupChunkBuildList__FP13DRender_tView
SEALED        214  USA        frontend/common/fecredits    SetupCurrCredit__14tCreditManager
SEALED          2  JPN        frontend/common/screencontroller ShakeIt__23tScreenControllerConfig
SEALED        207  USA        frontend/common/statchk      StatChk_IsRecordLapTime__FP10Car_tStatssPs
SEALED        299  USA        frontend/common/statchk      StatChk_IsTopTime__FP10Car_tStatss
SEALED        437  USA        frontend/common/statchk      StatChk_SaveTopTime__FP10Car_tStatss
SEALED        490  USA        game/common/stats            Stats_ExtrapolateOpponentTimes__Fi
SEALED         77  USA        frontend/common/stattool     Stattool_nCreateIndex__FiPiPs
SEALED        110  AU         frontend/common/screenmain   SwapBackground__11tScreenMaini
SEALED        109  JPN        frontend/common/screenmain   SwapBackground__11tScreenMaini
SEALED         55  USA        game/common/track            Track_DeInit__Fv
SEALED        291  USA        game/common/track            Track_Init__FPc
SEALED        129  USA        frontend/common/fetourn      UpdateTrackFinishPoints__18tTournamentManager
SEALED         72  USA        frontend/common/stattool     UserNameUpperCaseOneLetter__FPc
SEALED         97  AU         game/psx/weather             Weather_DoSplats__FiP18Weather_tSplatInfo
SEALED       3207  USA        frontend/common/femenudefs   __15tGlobalMenuDefs
FAIL 965     3197  JPN        frontend/common/femenudefs   __15tGlobalMenuDefs
SEALED        106  JPN        regiononly/func_80012F40     func_80012F40
SEALED        106  USA        regiononly/func_80012F50     func_80012F50
SEALED        107  AU         regiononly/func_80012F6C     func_80012F6C
SEALED        107  FR-DE      regiononly/func_80012FC4     func_80012FC4
SEALED        107  UK-ES-IT   regiononly/func_80012FDC     func_80012FDC
SEALED         37  AU         regiononly/func_8004DCB4     func_8004DCB4
SEALED         37  FR-DE      regiononly/func_8004DD24     func_8004DD24
SEALED         37  UK-ES-IT   regiononly/func_8004DD3C     func_8004DD3C
N/A          6913  JPN        regiononly/func_80051568     func_80051568
N/A          6579  USA        regiononly/func_80051AA0     func_80051AA0
N/A          6533  AU         regiononly/func_80051B58     func_80051B58
N/A          6339  UK-SW      regiononly/func_80051E60     func_80051E60
N/A          6337  FR-DE      regiononly/func_80051E68     func_80051E68
N/A          6321  UK-ES-IT   regiononly/func_80051EA8     func_80051EA8
SEALED         19  USA        regiononly/func_800702E4     func_800702E4
SEALED         15  USA        regiononly/func_80070330     func_80070330
SEALED        465  USA        game/common/audioclc         AudioClc_SoundPlayersCar__Fi
SEALED         44  USA        regiononly/func_8009A5AC     func_8009A5AC
SEALED         44  AU         regiononly/func_8009A5B0     func_8009A5B0
SEALED        192  USA        regiononly/func_8009B57C     func_8009B57C
SEALED        192  AU         regiononly/func_8009B580     func_8009B580
SEALED         14  USA        regiononly/func_800A7788     func_800A7788
SEALED         14  AU         regiononly/func_800A778C     func_800A778C
SEALED          9  USA        regiononly/func_800A77C0     func_800A77C0
SEALED          9  AU         regiononly/func_800A77C4     func_800A77C4
SEALED         10  USA        regiononly/func_800A77E4     func_800A77E4
SEALED         10  AU         regiononly/func_800A77E8     func_800A77E8
SEALED          6  USA        regiononly/func_800A780C     func_800A780C
SEALED          6  AU         regiononly/func_800A7810     func_800A7810
SEALED          8  USA        regiononly/func_800A7824     func_800A7824
SEALED          8  AU         regiononly/func_800A7828     func_800A7828
SEALED          8  USA        regiononly/func_800A7844     func_800A7844
SEALED          8  AU         regiononly/func_800A7848     func_800A7848
SEALED          8  USA        regiononly/func_800A7864     func_800A7864
SEALED          8  AU         regiononly/func_800A7868     func_800A7868
SEALED          8  USA        regiononly/func_800A7884     func_800A7884
SEALED          8  AU         regiononly/func_800A7888     func_800A7888
SEALED         57  JPN        regiononly/func_800BB0A8     func_800BB0A8
SEALED         57  USA        regiononly/func_800BB2F4     func_800BB2F4
SEALED         57  AU         regiononly/func_800BB2F8     func_800BB2F8
SEALED          2  JPN        regiononly/func_800DCC90     func_800DCC90
SEALED          2  JPN        regiononly/func_800DCC98     func_800DCC98
SEALED          2  USA        regiononly/func_800DCEA4     func_800DCEA4
SEALED          2  USA        regiononly/func_800DCEAC     func_800DCEAC
SEALED          2  AU         regiononly/func_800DCED0     func_800DCED0
SEALED          2  AU         regiononly/func_800DCED8     func_800DCED8
SEALED         16  AU         regiononly/func_800EECDC     func_800EECDC
N/A             4  JPN        regiononly/func_801051A4     func_801051A4
N/A             4  USA        regiononly/func_801053B8     func_801053B8
N/A             4  AU         regiononly/func_801053E4     func_801053E4
SEALED        129  USA        eaclib/psx/sndpsxz/sdma      iSNDdmtransfer
SEALED       2521  USA        eaclib/psx/sndpsxz/ssine     iSNDsin
SEALED        237  AU         game/common/nfs3             main
SEALED         27  USA        eaclib/psx/pad               padinit
SEALED          8  JPN        frontend/common/fetools      s_lower__FPc
SEALED          8  JPN        frontend/common/fetools      s_upper__FPc
SEALED        180  USA        syslib/psx/libc/SPRINTF      sprintf
SEALED        258  USA        frontend/psx/video           videodecode__FP11VIDEOSTRUCTP14STREAMCHUNKHDRii
FAIL 6        273  USA        frontend/common/fetourn      AdvanceToNextTrack__18tTournamentManager
FAIL 6         30  USA        frontend/common/femenudefs   AskTheUserToSaveTheGame__Fv
SEALED         48  USA        game/common/audiomus         AudioMus_AutoVolume__Fii
SEALED         19  USA        game/common/audiomus         AudioMus_Buffered__Fv
SEALED         52  USA        game/common/audiomus         AudioMus_BuildPattern__FPc
SEALED         34  USA        game/common/audiomus         AudioMus_BuildPlayList__FiPi
SEALED         31  USA        game/common/audiomus         AudioMus_DriverCleanUp__Fv
SEALED         81  USA        game/common/audiomus         AudioMus_DriverStartUp__Fii
SEALED         47  USA        game/common/audiomus         AudioMus_GetCurrentSong__Fv
SEALED        117  USA        game/common/audiomus         AudioMus_GetSongList__FPci
SEALED         23  USA        game/common/audiomus         AudioMus_InitDriverGlobals__Fv
SEALED          9  USA        game/common/audiomus         AudioMus_InitGlobals__Fv
SEALED        160  USA        game/common/audiomus         AudioMus_PlaySong__FPc
SEALED         25  USA        game/common/audiomus         AudioMus_RefreshStatus__Fv
SEALED         16  USA        game/common/audiomus         AudioMus_SetCurrentSongInfo__Fv
SEALED         53  USA        game/common/audiomus         AudioMus_StopSong__Fi
SEALED         62  USA        game/common/audiomus         AudioMus_SwitchSong__Fv
SEALED         30  USA        game/common/audiomus         AudioMus_SysCleanUp__Fv
FAIL 2         62  USA        game/common/audiomus         AudioMus_SysStartUp__FiiPc
SEALED         33  USA        game/common/audiomus         AudioMus_Threshold__Fv
SEALED        111  USA        game/common/audiomus         AudioMus_Volume__Fi
TODO           46  AU         frontend/common/fedialog     CalculateDimensions__12tDialogYesNo
TODO          133  AU         frontend/common/fedialog     CalculateDimensions__20tDialogMessageString
FAIL 2        237  AU         game/common/camera           Camera_NextMode__Fi
FAIL 2        133  AU         game/common/camera           Camera_SetMode__Fii
FAIL 4         25  JPN        game/psx/device              Device_SetHardCodedKeys__Fv
FAIL 8         80  AU         frontend/common/fescreen     DisplayLoadingText__7tScreen
TODO           80  USA        frontend/common/fescreen     DisplayLoadingText__7tScreen
FAIL 2        822  USA        frontend/common/screenmain   DrawBackground__11tScreenMain
TODO          154  USA        frontend/common/screenaudio  DrawBackground__12tScreenAudio
FAIL 4        410  USA        frontend/common/screenmemcard DrawBackground__14tScreenMemcard
FAIL 12       541  USA        frontend/common/screencongrats DrawBackground__15tScreenCongrats
TODO          394  USA        frontend/common/screenusername DrawBackground__15tScreenUserName
TODO          298  USA        frontend/common/screentrophyinfo DrawBackground__17tScreenTrophyInfo
TODO          261  USA        frontend/common/screentrophyroom DrawBackground__17tScreenTrophyRoom
FAIL 28       415  USA        frontend/common/screentournselect DrawBackground__18tScreenTournSelect
FAIL 34       364  USA        frontend/common/screentrackrecords DrawBackground__19tScreenTrackRecords
TODO          265  USA        frontend/common/screenpost   DrawBackground__24tScreenPinkSlipStandings
FAIL 2        342  USA        frontend/common/screencarselect DrawBackground__25tScreenCarSelectTwoPlayer
TODO          561  USA        frontend/common/screenpost   DrawBackground__26tScreenTournamentStandings
FAIL 10        71  USA        frontend/common/screencongrats DrawCongratsMessage__23tScreenPinkSlipCongrats
FAIL 6         51  USA        frontend/common/screencongrats DrawCongratsMessage__25tScreenTournamentCongrats
TODO           68  USA        frontend/common/screenaudio  DrawForeground__12tScreenAudio
TODO           87  USA        frontend/common/femenuoptions DrawLeftFlare__FiiiRi
FAIL 18       343  USA        frontend/common/screenmemcard DrawMemCardStuff__14tScreenMemcards
TODO           78  USA        frontend/common/screenpost   DrawMoney__Fiiilii
TODO          139  USA        frontend/common/femenuoptions DrawOneSong__18tInsideBoxSongMenussssss
FAIL 24       551  USA        frontend/common/screencarselect DrawOverlay__16tScreenCarSelectP8tOverlay
FAIL 8        120  USA        frontend/common/screentrackrecords DrawRecords__19tScreenTrackRecordss
FAIL 2        182  AU         frontend/common/femenuextended Draw__12tMenuOptions
TODO           94  USA        frontend/common/femenuoptions Draw__29tMenuItemOnOffLeftRightChoiceiib
FAIL 4         58  JPN        frontend/common/fetools      FeTools_init__Fv
TODO          409  AU         game/psx/flare               Flare_LensFlare__FP7DVECTORP15Draw_FlareCache
TODO           46  AU         game/psx/flare               Flare_Moon__FP7SVECTORP15Draw_FlareCache
TODO          187  AU         game/psx/flare               Flare_Sun__FP7SVECTORP15Draw_FlareCache
FAIL 4         11  USA        frontend/common/fememcard    FormatConfirm__Fv
FAIL 2        357  USA        frontend/common/front        Front_InitOpponentCars__FR9tFEStream
FAIL 2         37  USA        frontend/common/femenudefs   GenericMenuLoadGame__Fi
FAIL 4         71  USA        frontend/common/femenudefs   GenericMenuSaveGame__Fi
TODO           24  USA        frontend/common/screencontroller GetHelpText__23tScreenControllerConfig
TODO          458  AU         game/psx/hrzsku              Hrz_BuildSky__Fv
FAIL 2         46  USA        frontend/common/screencarselect InitializeVideoWall__16tScreenCarSelect
FAIL 4         71  USA        frontend/common/screencarselect InitializeVideoWall__20tScreenCarSelectDuel
TODO           48  USA        frontend/common/screenusername Initialize__15tScreenUserName
TODO          111  USA        frontend/common/screentracks Initialize__18tScreenTrackSelect
TODO           82  AU         game/psx/loading             Loading_DrawLoadingScreen__Fv
FAIL 4       1123  USA        frontend/common/feapp        MainLoop__14tFEApplicationP5tMenu
FAIL 10        85  USA        frontend/common/femenudefs   MenuExtended_BuyCar__FR12tMenuCommand
FAIL 8         76  USA        frontend/common/femenudefs   MenuExtended_ExitPinkSlipsEarly__FR12tMenuCommand
FAIL 6         36  USA        frontend/common/femenudefs   MenuExtended_ExitTourney__FR12tMenuCommand
FAIL 6         83  USA        frontend/common/femenudefs   MenuExtended_GoTo2PlayerRace__FR12tMenuCommand
FAIL 2        229  USA        frontend/common/femenudefs   MenuExtended_GoToCarSelect__FR12tMenuCommand
FAIL 8         87  USA        frontend/common/femenudefs   MenuExtended_GoToRace__FR12tMenuCommand
FAIL 8         91  USA        frontend/common/femenudefs   MenuExtended_GoToSpecialEventTrackInfo__FR12tMenuCommand
FAIL 8         90  USA        frontend/common/femenudefs   MenuExtended_GoToTournTrackInfo__FR12tMenuCommand
FAIL 4         69  USA        frontend/common/femenudefs   MenuExtended_GoToTwoPlayerSingleRace__FR12tMenuCommand
FAIL 8         80  USA        frontend/common/femenudefs   MenuExtended_PurchaseUpgrade__Fi
FAIL 8         86  USA        frontend/common/femenudefs   MenuExtended_SellCar__FR12tMenuCommand
FAIL 4         73  AU         game/common/nfs3             NFS4_LoadingIcon__Fv
FAIL 8         33  USA        game/common/object           Object_InitCustomObjects__Fv
FAIL 4         11  USA        frontend/common/fememcard    OverwriteConfirm__Fv
TODO           29  JPN        frontend/psx/psxfront        PSXFront_AllocateDrawMemory__Fv
FAIL 6         50  USA        frontend/common/femenudefs   PinkSlipsPreSave__Fv
FAIL 4         27  USA        frontend/common/front        PlayerNameMixedCase__Fi
FAIL 4         35  USA        frontend/common/front        PlayerName__Fi
FAIL 2         17  AU         frontend/psx/psxfront        Quick_DD__Fiii
FAIL 2         19  AU         game/common/render           Render_CreatePauseMenuViews__Fv
FAIL 6         48  AU         frontend/common/screencarselect SetDialog__25tScreenCarSelectTwoPlayer
FAIL 2         48  USA        frontend/common/screencarselect SetDialog__25tScreenCarSelectTwoPlayer
FAIL 22       164  AU         frontend/common/screencarselect SetDialog__25tScreenPinkSlipsCarSelect
FAIL 18       164  USA        frontend/common/screencarselect SetDialog__25tScreenPinkSlipsCarSelect
TODO          111  AU         game/psx/hrzsku              Sky_RenderStars__FP13Draw_SkyCachei
TODO           16  USA        frontend/common/fetracks     TextValue__18tListIteratorTrack7tPlayer
FAIL 2         22  USA        frontend/common/fetourn      TextValue__23tListIteratorTournament7tPlayer
TODO          141  USA        frontend/common/femenuoptions TransitionOn__17tUserNameMenuItem
TODO           21  AU         game/psx/trsproj             TrsProj_SetViewTrsProjEnviro__FP13DRender_tView
FAIL 2         52  USA        frontend/common/fetourn      UpdateTrackList__18tTournamentManagerss
FAIL 2        243  USA        frontend/common/fecars       ValidCar__16tListIteratorCar7tPlayerc
FAIL 2         94  USA        frontend/common/fetourn      ValidCar__18tTournamentManagerR8tCarInfo
FAIL 4         69  AU         game/psx/weather             Weather_InitSplats__Fv
FAIL 2         18  USA        game/psx/platform            nfs2eacinit__Fv
TODO            5  AU         eaclib/psx/eacpsxz/savegp    savegp
TODO            5  JPN        eaclib/psx/eacpsxz/savegp    savegp
TODO            5  USA        eaclib/psx/eacpsxz/savegp    savegp
TODO          359  AU         frontend/common/fedialog     CalculateDimensions__11tDialogHelp
TODO          359  USA        frontend/common/fedialog     CalculateDimensions__11tDialogHelp
FAIL 4        109  USA        frontend/common/fememcard    Confirm__Fii
FAIL 10       254  USA        frontend/common/feapp        DrawHelpIcons__14tFEApplication
FAIL 4         58  USA        frontend/common/fememcard    Init_MemcardFile__FR12MCRDFILE_defsb
FAIL 4        106  USA        frontend/common/screenmemcard Initialize__14tScreenMemcard
TODO          222  USA        frontend/common/screencontroller SetCurrentController__23tScreenControllerConfigb
